ASIN,Marketplace_ID
B0GXF5KJ2B,6
B0GZM2G7QS,1
"B0G4D4WLF3, B0G3VY3XDW, B0G6K4MQRW, B0CR7GVSS1, B0G6JSMB12, B0G6JY4BBT, B0G6K9CMTC, B0G254W5XT, B0G24ZV2W6, B0DX64CB6T",1
B0GZMXWW6F,1
B0G49JQTK8,4
,
B0GVS16MWK,6
"B0GX5XHZGP, B0GX5QBKJ5",6
B0FTY48X8K,6
B0GWV1LTM7,6
B0GN521M8G,7
B0DKYB6W1R,6
B0GZLJ8SGQ,6
"B08VN53DKP, B08VN53DKP, B091B7K697, B0D7VVPK3B",1
B0GZKPVXHF,1
"B0GYWDBZH8, B0GYWD41CG, B0GYWMBQCP, B0GYWMTTLN, B0GYWD39YM",1
"B0FSX2HWYN, B0FSWZYDPP, B0FSX81Q7F, B0FSVTQB23, B0FQ5KX73L, B0FQ5MH6FV, B0FQ5HD2PD, B0FQ5D9224",1
B0GZLVBNW2,6
B0D1XGQ8XB,6
B0GZLXJRF4,1
B09JMHL8K3,6
B0DLWHTZQF,6
"B0GF13GTP2, B0GD7DDFLN, B0GCMZP2ZV, B0GF1JHLVL, B0G52B9GQP, B0G4H1RFB6, B0G395QYY7, B0G395P5V1, B0G394T9SL, B0GCHM3PRT, B0GD73F4XN, B0GFM9P8ZV, B0GFN48ZQZ, B0GFMM5RCC, B0GFMG6C2X, B0GFM4G8PJ, B0GFM438QN, B0GFW4YM6G, B0GFW1TDRB, B0GFWK8RDJ",1
B0GZMNKR56,1
B0GZ2K67G4,5
"B0GCFY4TD2, B0GCDQC151",35691
B0DYV4P5XX,771770
B0GWR7LJFS,3
B0GQFFTWFW,35691
"B0GYRDC2GY, B0GXDJWW1V, B0GXCZ8TKR, B0GXCR3LG6, B0GXCSL443, B0GXCMVS4T, B0GXCRDTCW, B0GXCMZYMC, B0GXD2PDVV, B0GXD7DDFL, B0GTLNG35R, B0G3PG17FY, B0G3P9SY98, B0FSC9S5F2, B0FJY3VSLQ, B0G25NXY5M, B0G25QQTDW, B0G25PQBV7, B0G25PCJXG",6
B0GM6MBFLN,1
B0GR237YJH,6
B0F8VDNT77,1
B0G44RHNJJ,623225021
"B0FDWR1BYD, B0FPBHBQ97, B0GH8W21Z6, B0FKZH8LC1, B0FXFCSGDD, B0FXFB8C8G, B0FXFC1XP7, B0FXF9L5JX, B0FXFBT9DJ, B0FXFBK8Q5, B0GY22D3R1, B0GY1QFH45, B0GY1RDX9X, B0GY1MV75G, B0GY1YV14C, B0GY1XGGBF",1
"B0D4PKWY9F, B09YPY7ZHT, B0CJY2ZH4G",3
"B0GYWQNGQH, B0GYWNYGM4, B0GYWHWCBF, B0GYWCNKL4",1
B0BV27FCFQ,35691
B0GRG17HWY,111172
B0GZMBGR7T,1
B0D5GQY7LV,1
B0GMRC8JLG,328451
"B0GFW4L5MV, B0GFMSX8DD, B0GFN3GQBK, B0GFMJNHG5, B0GFW73WGF, B0GFWG5467, B0GFW7RZS8, B0GH6SMBMM, B0G4GX2DH8, B0GDZYXS68, B0GF1JL14C, B0G39GZTXK, B0G39H74VL, B0GFK3S7PM, B0GFKT3933, B0GCNMMS53, B0G52BN5DY, B0G4M9BGG2, B0GFDQTDK9, B0G4M9DW3W",1
"B0GX2D9QMK, B0GY928PR7",5
"B0G1HBCN8S, B0FSCZ7TLF, B0FSCQN4D4, B0FXGGR73V, B0FW4C5FX9, B0FX9FQ2FF, B0FT2JSSVV, B0FT2GG7VW, B0FT27LMK2, B0FSCM7ZK9, B0FRZYWVV3, B0FSK37XHM, B0FSJQSWF6, B0FSJQN1VF, B0FSJFDYTM, B0FSKBYWMB, B0FQP2DT7P",6
B0F59RD3MX,1
B0GTLVVFQ9,3
B0GXT73C36,4
B0GT8B8L2X,6
,
B0GXVQ652L,6
B0FXXDNYGP,5
B0GMQ8NSNG,6
B0GZ2MGZJQ,1
B0GZKPSYD7,1
B0GYWK8DSJ,5
B0GD6DXXMS,111172
"B0BGB6WXCR, B0BGB5LB8B, B0B973S9N4, B0B458LK1H, B0C6T4CV96, B0B4DF93YG, B0B4Z9F7SS",771770
"B0GYRH6XXD, B0GYRD857J",1
B0GVK5H61M,35691
B0F37VQDX3,6
B0GZ1Y8T1D,1
B0GYP9MCJR,5
B0F6W8YTMN,6
B0GZLPN2C3,1
B0DK1FXXZV,35691
"B0GVBN74NG, B0GVBHNVD3, B0GVBK9C6Z, B0GVB6R2DK, B0GVBM3Q9M",623225021
"B0GX5RMWMF, B0GX63SVCR",1
B08WHW49HC,3
B0GMWKTJYM,6
B0GXK83RV2,4
B0DDB2GRN5,4
B0GVZ8KFMZ,6
B003UUAOGC,623225021
B0GZMGYQHY,1
B0GXPLWFQ2,6
